fi,64934
en,45846
ru,17222
sv,4382
ja,2419
es,1853
de,1369
ko,1355
it,1331
zh,1135
pt,1129
fr,940
et,892
no,479
tr,464
ar,428
th,397
nl,382
da,380
pl,237
uk,183
lv,141
id,138
hu,133
vi,127
cs,112
ca,102
eo,85
lt,83
fa,75
he,72
is,62
la,59
el,41
bg,41
ceb,37
nds,32
hr,31
sl,22
sr,20
ms,19
nn,18
sk,17
eu,16
ckb,15
sw,15
mk,14
tl,14
ro,14
be,14
vo,11
arz,7
sq,7
ie,6
sah,6
oc,6
az,6
mn,6
tt,5
af,5
ka,4
li,4
yue,4
mg,4
kk,4
si,4
war,3
io,3
hi,3
als,3
ky,3
wuu,3
qu,3
fy,3
gl,2
tk,2
uz,2
ne,2
ga,2
ps,2
hy,2
sh,1
min,1
bo,1
tg,1
azb,1
cy,1
ta,1
ia,1
bs,1
lb,1
mzn,1
bn,1
ur,1
cv,1
dv,1
wa,1
kw,1
jv,1
br,1
