,fi,ru,sv,en,es,it,ar,ja,nds,tr,fr,zh,de,pl,ko,pt,la,uk,et,vi,da,th,eo,no,nl,fa,ca,hu,cs,lv,he,id,lt,el,lang_count,park_id,users,posts
10104,4240.0,524.0,161.0,585.0,47.0,43.0,8.0,42.0,1.0,2.0,31.0,7.0,62.0,6.0,8.0,21.0,3.0,7.0,58.0,2.0,6.0,16.0,4.0,4.0,6.0,1.0,1.0,6.0,1.0,3.0,2.0,1.0,1.0,,33,10104,4738,6122
10105,499.0,11.0,7.0,41.0,5.0,1.0,2.0,15.0,,1.0,1.0,,7.0,,,1.0,,,5.0,,,,,,,,,,,,,,,,13,10105,432,610
10171,695.0,65.0,47.0,152.0,11.0,6.0,,1.0,,2.0,17.0,,13.0,7.0,9.0,5.0,,,2.0,,2.0,,1.0,2.0,1.0,,,4.0,2.0,1.0,,1.0,,2.0,23,10171,820,1066
10388,12.0,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10388,16,17
10427,102.0,9.0,,10.0,,,,3.0,,2.0,1.0,2.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,9,10427,104,133
10429,44.0,13.0,2.0,10.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,6,10429,57,72
10437,266.0,6.0,5.0,38.0,,4.0,,7.0,,,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,9,10437,141,331
10438,22.0,3.0,1.0,3.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,6,10438,26,31
10444,5.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10444,4,6
10475,50.0,19.0,1.0,17.0,4.0,2.0,,3.0,,2.0,3.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,12,10475,93,105
10476,1619.0,309.0,47.0,529.0,41.0,27.0,2.0,42.0,4.0,9.0,27.0,22.0,62.0,1.0,20.0,15.0,,5.0,7.0,2.0,,4.0,2.0,3.0,6.0,1.0,2.0,1.0,4.0,,,,,,27,10476,1964,2893
10477,805.0,153.0,53.0,133.0,6.0,6.0,,11.0,25.0,4.0,6.0,8.0,11.0,,1.0,20.0,,,3.0,,2.0,3.0,2.0,1.0,1.0,,1.0,,3.0,,1.0,1.0,2.0,,25,10477,822,1287
10479,842.0,47.0,64.0,141.0,6.0,3.0,1.0,4.0,,12.0,4.0,1.0,13.0,,,22.0,1.0,,1.0,,1.0,,,,2.0,,,4.0,1.0,1.0,,,,,20,10479,661,1183
10481,509.0,10.0,14.0,59.0,4.0,,,12.0,,1.0,2.0,,,,4.0,2.0,,,,,,1.0,,,,,,2.0,,,,,,,12,10481,349,629
10482,362.0,18.0,23.0,39.0,6.0,3.0,,2.0,,,1.0,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,13,10482,229,464
10487,63.0,2.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10487,47,69
10519,90.0,8.0,2.0,20.0,2.0,1.0,,3.0,,,,1.0,1.0,,1.0,,,,1.0,,,,,,2.0,,,,,,1.0,,,,13,10519,128,141
10520,23.0,2.0,,5.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10520,24,33
10521,408.0,146.0,8.0,118.0,5.0,18.0,,7.0,,1.0,7.0,2.0,5.0,1.0,3.0,6.0,1.0,,1.0,,3.0,1.0,,,,,,1.0,,,,,2.0,,20,10521,527,756
10522,5.0,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10522,8,12
10523,728.0,30.0,16.0,94.0,2.0,5.0,,1.0,,3.0,10.0,3.0,,,,1.0,,,2.0,1.0,,,2.0,,,,,1.0,,,,,,,15,10523,650,907
10526,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10526,1,4
10566,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10566,2,7
10606,167.0,1.0,2.0,11.0,1.0,,,,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,9,10606,139,186
10610,35.0,2.0,1.0,5.0,2.0,27.0,,,,,,,1.0,,,,,,1.0,,,35.0,,,,,,,,,,,,,9,10610,36,111
10733,42.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10733,34,46
10806,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10806,2,2
10859,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10859,4,20
10860,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10860,4,7
10861,44.0,,,2.0,2.0,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,6,10861,29,51
10862,61.0,,1.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10862,58,72
10864,9.0,1.0,8.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10864,15,23
10913,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10913,1,1
10967,22.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10967,20,26
10978,81.0,2.0,2.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10978,74,94
10979,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10979,11,13
10980,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10980,5,8
11027,29.0,4.0,1.0,4.0,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,6,11027,39,42
11034,27.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11034,20,36
11035,95.0,5.0,5.0,14.0,2.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,9,11035,94,125
11083,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11083,1,1
11093,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11093,4,4
11103,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11103,10,10
11153,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11153,1,1
11154,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11154,3,5
11185,85.0,5.0,,7.0,,,,,5.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,5,11185,59,111
11201,10.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11201,11,14
11229,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11229,2,2
11266,37.0,,,,2.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,4,11266,23,41
11368,9.0,16.0,,9.0,,,,,,4.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,7,11368,21,41
11369,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11369,6,7
11419,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11419,4,4
11422,2.0,,,,,,,,,,,,,,,69.0,,,4.0,,,,,,,,,,,,,,,,3,11422,7,76
11443,6.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11443,8,8
11484,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11484,2,3
11500,8.0,1.0,,17.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,6,11500,29,35
11670,34.0,,4.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4,11670,33,40
11722,71.0,12.0,,21.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,9,11722,74,110
11900,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11900,1,2
12053,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12053,5,5
12087,64.0,3.0,,20.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,5,12087,50,91
12088,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12088,2,2
12089,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12089,3,10
12103,4.0,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3,12103,9,11
12116,8.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,5,12116,11,19
