,fi,en,ru,it,sv,ja,pt,es,fr,nl,de,cs,id,zh,vi,th,fa,pl,et,tr,hu,lv,no,la,uk,ko,eo,is,lt,ar,da,ceb,he,ca,nds,el,sr,lang_count,park_id,users,posts
671,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,671,1,2
673,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,673,1,1
675,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,675,1,2
676,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,676,2,2
677,333.0,38.0,16.0,2.0,9.0,1.0,1.0,5.0,1.0,,1.0,,,,,1.0,,9.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,17,677,326,429
678,28.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,678,10,29
679,77.0,8.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,679,37,86
680,74.0,8.0,11.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,6,680,68,97
681,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,681,5,5
682,4.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,682,11,19
685,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,685,1,1
688,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,688,18,20
689,7.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,689,10,11
690,32.0,4.0,,,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,690,31,42
692,155.0,15.0,52.0,,8.0,,1.0,3.0,,,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,11,692,171,243
694,92.0,22.0,42.0,1.0,2.0,3.0,1.0,9.0,2.0,,2.0,,,1.0,1.0,1.0,,,4.0,,,,,,,2.0,,,,,,,,,,,,15,694,134,189
700,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,700,1,1
701,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,701,1,2
703,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,703,1,1
706,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,706,4,5
715,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,715,1,2
718,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,718,2,2
725,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,725,1,1
728,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,728,2,3
731,165.0,16.0,23.0,,2.0,,,1.0,1.0,,,,,,,,,,2.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,11,731,135,215
732,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,732,1,1
734,113.0,28.0,4.0,2.0,1.0,5.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10,734,89,160
735,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,735,2,2
738,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,738,4,6
740,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,740,2,2
741,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,741,2,2
742,145.0,13.0,2.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,5,742,109,165
746,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,746,2,2
748,58.0,4.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,4,748,23,65
750,440.0,46.0,18.0,1.0,8.0,1.0,,1.0,,,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,10,750,278,527
752,11.0,2.0,,,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,752,16,21
753,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,753,2,7
754,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,754,5,6
757,56.0,8.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,757,55,72
761,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,761,11,11
762,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,762,3,4
764,61.0,11.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,5,764,51,76
766,60.0,11.0,1.0,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,6,766,62,77
768,32.0,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,768,28,36
772,276.0,9.0,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,772,134,291
774,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,774,1,1
776,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,776,3,3
777,18.0,2.0,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,777,18,29
779,240.0,18.0,4.0,,3.0,,,,,1.0,1.0,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,8,779,204,272
780,46.0,7.0,3.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,5,780,42,58
783,46.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,783,42,53
785,1141.0,129.0,36.0,10.0,12.0,6.0,1.0,7.0,7.0,,7.0,,4.0,17.0,,,3.0,2.0,4.0,,1.0,,3.0,,,2.0,,,4.0,3.0,2.0,,,,,,,21,785,885,1415
786,192.0,26.0,21.0,,8.0,,1.0,4.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,3.0,,,,,,,10,786,177,261
787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,787,1,1
789,34.0,2.0,1.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,789,31,46
790,11.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,790,5,15
791,533.0,56.0,17.0,7.0,4.0,29.0,5.0,6.0,6.0,3.0,9.0,,,3.0,,,,3.0,2.0,1.0,,,,4.0,,6.0,,2.0,,1.0,,1.0,,,,,,20,791,431,707
795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,795,1,1
797,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,797,1,1
799,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,799,4,6
800,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,800,1,1
801,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,801,12,13
802,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,802,6,7
807,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,807,1,1
809,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,809,3,5
811,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,811,3,3
812,27.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,812,28,33
813,9.0,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,3,813,13,13
817,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,817,1,1
819,8.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,5,819,13,14
822,217.0,40.0,18.0,4.0,2.0,,,1.0,5.0,,,,,,,,,,2.0,,,,,4.0,,,,,,,,,,,,,,9,822,182,296
823,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,823,1,1
824,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,824,1,1
826,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,826,5,5
827,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,827,2,2
829,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,829,1,1
830,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,830,1,1
